日期,T-1原始信号,标准化信号,股指总仓位,沪深300主连权重,中证1000主连权重,闲置资金比例,逆回购日收益,换手率,交易成本,沪深300主连日收益,中证1000主连日收益,策略日收益,基准沪深300主连权重,基准中证1000主连权重,基准日收益,策略净值,基准净值,超额净值,当日超额收益
2021-01-20,1.0,1.0,1.0,1.0,0.0,0.0,6.631506849315068e-05,0.0,0.0,0.004819365757,0.0,0.004819365757,1.0,0.0,0.004819365757,1.8393845089788494,1.426659560409185,1.2892946292325616,0.0
2021-01-21,1.0,1.0,1.0,1.0,0.0,0.0,7.472602739726027e-05,0.0,0.0,0.015999707099,0.0,0.015999707099,1.0,0.0,0.015999707099,1.8688141223649488,1.4494856955057198,1.2892946292325618,0.0
2021-01-22,1.0,1.0,1.0,1.0,0.0,0.0,8.132876712328768e-05,0.0,0.0,-0.0009369369369999999,0.0,-0.0009369369369999999,1.0,0.0,-0.0009369369369999999,1.8670631613853177,1.4481276188179473,1.2892946292325616,0.0
2021-01-25,1.0,1.0,1.0,1.0,0.0,0.0,0.00024475342465753424,0.0,0.0,0.007971432694,0.0,0.007971432694,1.0,0.0,0.007971432694,1.8819463297117474,1.459671270663677,1.2892946292325616,0.0
2021-01-26,1.0,1.0,1.0,1.0,0.0,0.0,8.053424657534246e-05,0.0,0.0,-0.016353551618999998,0.0,-0.016353551618999998,1.0,0.0,-0.016353551618999998,1.8511698232646188,1.4358004611921071,1.2892946292325616,0.0
2021-01-27,1.0,1.0,1.0,1.0,0.0,0.0,0.00012127397260273975,0.0,0.0,-0.000472933644,0.0,-0.000472933644,1.0,0.0,-0.000472933644,1.8502943427744394,1.4351214228479385,1.2892946292325618,0.0
2021-01-28,1.0,1.0,1.0,1.0,0.0,0.0,0.00012245205479452056,0.0,0.0,-0.021656050955000002,0.0,-0.021656050955000002,1.0,0.0,-0.021656050955000002,1.8102242742055679,1.4040423601881316,1.2892946292325616,0.0
2021-01-29,1.0,1.0,1.0,1.0,0.0,0.0,0.0001742876712328767,0.0,0.0,-0.00625,0.0,-0.00625,1.0,0.0,-0.00625,1.7989103724917832,1.3952670954369557,1.2892946292325618,0.0
2021-02-01,1.0,1.0,1.0,1.0,0.0,0.0,0.00044538356164383554,0.0,0.0,0.011904761905,0.0,0.011904761905,1.0,0.0,0.011904761905,1.8203259721647325,1.4118774180020135,1.2892946292325616,0.0
2021-02-02,1.0,1.0,1.0,1.0,0.0,0.0,0.00010889041095890411,0.0,0.0,0.011940962694,0.0,0.011940962694,1.0,0.0,0.011940962694,1.8420624166892707,1.4287365935788765,1.2892946292325618,0.0
